Title,Company,Location,Requirements,Views Count,Reviews Count
QA Team Lead - Documents Team,Readdle,"Poland,
    Portugal,
    Ukraine
(Ivano-Frankivsk, Kyiv, Lviv)",,35,12
Middle Manual QA,Radency,Ukraine,"REST, GraphQL, SQL",9,3
Quality Assurance Specialist,Digia Technology,"Ukraine
(Kyiv)",,3,1
"Спеціаліст з оцінки якості перекладів\локалізації, редактор-перекладач",MK:translations,Ukraine,,1,0
User Acquisition Manager (Team Lead),Applica Agency,"Ukraine,
    United Kingdom,
    Spain,
    Poland",,59,4
Junior Embedded Engineer (IRC222183),GlobalLogic,Ukraine,,1,0
Frontend Engineer,GlobalLogic,Poland,React,1,0
Content Designer,Arvilab,Ukraine,,2,0
Middle/Senior Product Support Engineer (IRC221874),GlobalLogic,"Ukraine
(Kyiv, Lviv)",,3,0
SQL програміст,Brocard Ukraine,Ukraine,"SQL, SQL",144,31
"CMO, Marketing Team Lead, Head of Marketing",Lead Panda,"Ukraine
(Kyiv)",,1,0
Business Analyst,Brocard Ukraine,Ukraine,,5,2
System Analyst,PrivatBank,"Relocate,
    Ukraine
(Dnipro, Kyiv, Lviv)",,4,0
Technical Support Specialist,Luxoft,Ukraine,,2,0
Python-developer (Junior),Болі Віяс,"Ukraine
(Kyiv)",Python,94,26
QA Team Lead - Documents Team,Readdle,"Poland,
    Portugal,
    Ukraine
(Ivano-Frankivsk, Kyiv, Lviv)",,35,12
Middle Manual QA,Radency,Ukraine,"REST, GraphQL, SQL",9,3
Quality Assurance Specialist,Digia Technology,"Ukraine
(Kyiv)",,3,1
"Спеціаліст з оцінки якості перекладів\локалізації, редактор-перекладач",MK:translations,Ukraine,,1,0
User Acquisition Manager (Team Lead),Applica Agency,"Ukraine,
    United Kingdom,
    Spain,
    Poland",,59,4
Junior Embedded Engineer (IRC222183),GlobalLogic,Ukraine,,1,0
Frontend Engineer,GlobalLogic,Poland,React,1,0
Content Designer,Arvilab,Ukraine,,2,0
Middle/Senior Product Support Engineer (IRC221874),GlobalLogic,"Ukraine
(Kyiv, Lviv)",,3,0
SQL програміст,Brocard Ukraine,Ukraine,"SQL, SQL",144,31
"CMO, Marketing Team Lead, Head of Marketing",Lead Panda,"Ukraine
(Kyiv)",,1,0
Business Analyst,Brocard Ukraine,Ukraine,,5,2
System Analyst,PrivatBank,"Relocate,
    Ukraine
(Dnipro, Kyiv, Lviv)",,4,0
Technical Support Specialist,Luxoft,Ukraine,,2,0
Python-developer (Junior),Болі Віяс,"Ukraine
(Kyiv)",Python,94,26
QA Team Lead - Documents Team,Readdle,"Poland,
    Portugal,
    Ukraine
(Ivano-Frankivsk, Kyiv, Lviv)",,35,12
Middle Manual QA,Radency,Ukraine,"REST, GraphQL, SQL",9,3
Quality Assurance Specialist,Digia Technology,"Ukraine
(Kyiv)",,3,1
"Спеціаліст з оцінки якості перекладів\локалізації, редактор-перекладач",MK:translations,Ukraine,,1,0
User Acquisition Manager (Team Lead),Applica Agency,"Ukraine,
    United Kingdom,
    Spain,
    Poland",,59,4
Junior Embedded Engineer (IRC222183),GlobalLogic,Ukraine,,1,0
Frontend Engineer,GlobalLogic,Poland,React,1,0
Content Designer,Arvilab,Ukraine,,2,0
Middle/Senior Product Support Engineer (IRC221874),GlobalLogic,"Ukraine
(Kyiv, Lviv)",,3,0
